0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 5000 200 1 1 37.34 35.62 35.62
1 1 5000 200 1 16 13.7 11.75 11.75
1 1 5000 200 1 64 12.47 10.69 10.69
1 1 5000 200 1 128 12.58 10.63 10.63
1 1 5000 200 1 256 13.68 11.78 11.78
1 1 5000 200 1 512 16.79 14.97 14.97
1 1 5000 200 4 1 27.44 25.58 25.58
1 1 5000 200 4 16 12.86 10.93 10.93
1 1 5000 200 4 64 12.32 10.53 10.53
1 1 5000 200 4 128 12.28 10.41 10.41
1 1 5000 200 4 256 13.46 11.54 11.54
1 1 5000 200 4 512 19.61 17.82 17.82
1 1 5000 200 16 1 23.85 22.05 22.05
1 1 5000 200 16 16 12.71 10.88 10.88
1 1 5000 200 16 64 12.35 10.53 10.53
1 1 5000 200 16 128 14.32 12.45 12.45
1 1 5000 200 16 256 20.05 18.22 18.22
1 1 5000 200 16 512 25.48 23.68 23.68
1 1 5000 200 32 1 23.49 21.6 21.6
1 1 5000 200 32 16 12.71 10.88 10.88
1 1 5000 200 32 64 14.48 12.59 12.59
1 1 5000 200 32 128 18.39 16.48 16.48
1 1 5000 200 32 256 20.34 18.55 18.55
1 1 5000 200 32 512 48.98 47.07 47.07
1 1 5000 200 64 1 23.34 21.49 21.49
1 1 5000 200 64 16 12.87 11 11
1 1 5000 200 64 64 18.54 16.76 16.76
1 1 5000 200 64 128 18.58 16.67 16.67
1 1 5000 200 64 256 38.69 36.8 36.8
1 1 5000 200 64 512 95.5 93.66 93.66
1 1 5000 200 128 1 23.49 21.69 21.69
1 1 5000 200 128 16 15.16 13.25 13.25
1 1 5000 200 128 64 18.81 16.96 16.96
1 1 5000 200 128 128 34.73 32.91 32.91
1 1 5000 200 128 256 74.95 73.18 73.18
1 1 5000 200 128 512 188.76 186.97 186.97
1 1 4500 200 1 1 33.83 32.11 32.11
1 1 4500 200 1 16 12.45 10.63 10.63
1 1 4500 200 1 64 11.48 9.65 9.65
1 1 4500 200 1 128 11.42 9.59 9.59
1 1 4500 200 1 256 12.45 10.66 10.66
1 1 4500 200 1 512 15.39 13.57 13.57
1 1 4500 200 4 1 24.87 23.06 23.06
1 1 4500 200 4 16 11.8 9.86 9.86
1 1 4500 200 4 64 11.3 9.53 9.53
1 1 4500 200 4 128 11.31 9.43 9.43
1 1 4500 200 4 256 13.35 11.54 11.54
1 1 4500 200 4 512 19.5 17.7 17.7
1 1 4500 200 16 1 21.86 19.91 19.91
1 1 4500 200 16 16 11.59 9.85 9.85
1 1 4500 200 16 64 12.27 10.5 10.5
1 1 4500 200 16 128 14.3 12.44 12.44
1 1 4500 200 16 256 20.11 18.21 18.21
1 1 4500 200 16 512 25.46 23.68 23.68
1 1 4500 200 32 1 21.28 19.41 19.41
1 1 4500 200 32 16 11.67 9.86 9.86
1 1 4500 200 32 64 14.49 12.59 12.59
1 1 4500 200 32 128 18.31 16.49 16.49
1 1 4500 200 32 256 20.33 18.54 18.54
1 1 4500 200 32 512 48.7 46.95 46.95
1 1 4500 200 64 1 21.13 19.37 19.37
1 1 4500 200 64 16 12.87 11.01 11.01
1 1 4500 200 64 64 18.55 16.74 16.74
1 1 4500 200 64 128 18.5 16.67 16.67
1 1 4500 200 64 256 38.64 36.78 36.78
1 1 4500 200 64 512 95.35 93.58 93.58
1 1 4500 200 128 1 21.31 19.58 19.58
1 1 4500 200 128 16 15.06 13.26 13.26
1 1 4500 200 128 64 18.87 16.98 16.98
1 1 4500 200 128 128 34.77 32.9 32.9
1 1 4500 200 128 256 75 73.18 73.18
1 1 4500 200 128 512 188.5 186.8 186.8
1 1 4000 200 1 1 30.38 28.53 28.53
1 1 4000 200 1 16 11.41 9.47 9.47
1 1 4000 200 1 64 10.4 8.6 8.6
1 1 4000 200 1 128 10.43 8.58 8.58
1 1 4000 200 1 256 11.34 9.51 9.51
1 1 4000 200 1 512 13.97 12.08 12.08
1 1 4000 200 4 1 22.35 20.53 20.53
1 1 4000 200 4 16 10.72 8.8 8.8
1 1 4000 200 4 64 10.33 8.51 8.51
1 1 4000 200 4 128 10.19 8.41 8.41
1 1 4000 200 4 256 11.24 9.31 9.31
1 1 4000 200 4 512 13.84 12.01 12.01
1 1 4000 200 16 1 19.57 17.7 17.7
1 1 4000 200 16 16 10.62 8.79 8.79
1 1 4000 200 16 64 10.32 8.51 8.51
1 1 4000 200 16 128 10.23 8.44 8.44
1 1 4000 200 16 256 11.29 9.46 9.46
1 1 4000 200 16 512 25.52 23.68 23.68
1 1 4000 200 32 1 19.01 17.24 17.24
1 1 4000 200 32 16 10.54 8.81 8.81
1 1 4000 200 32 64 10.41 8.55 8.55
1 1 4000 200 32 128 10.27 8.51 8.51
1 1 4000 200 32 256 20.38 18.55 18.55
1 1 4000 200 32 512 48.86 47.05 47.05
1 1 4000 200 64 1 18.94 17.23 17.23
1 1 4000 200 64 16 10.71 8.92 8.92
1 1 4000 200 64 64 10.38 8.67 8.67
1 1 4000 200 64 128 18.42 16.65 16.65
1 1 4000 200 64 256 38.69 36.74 36.74
1 1 4000 200 64 512 95.36 93.58 93.58
1 1 4000 200 128 1 19.4 17.47 17.47
1 1 4000 200 128 16 10.87 9.11 9.11
1 1 4000 200 128 64 18.75 16.97 16.97
1 1 4000 200 128 128 34.75 32.87 32.87
1 1 4000 200 128 256 75.05 73.12 73.12
1 1 4000 200 128 512 188.61 186.83 186.83
1 1 3500 200 1 1 26.84 25.04 25.04
1 1 3500 200 1 16 10.01 8.33 8.33
1 1 3500 200 1 64 9.36 7.55 7.55
1 1 3500 200 1 128 9.42 7.56 7.56
1 1 3500 200 1 256 10.16 8.37 8.37
1 1 3500 200 1 512 12.46 10.62 10.62
1 1 3500 200 4 1 19.83 18.02 18.02
1 1 3500 200 4 16 9.54 7.74 7.74
1 1 3500 200 4 64 9.42 7.5 7.5
1 1 3500 200 4 128 9.24 7.45 7.45
1 1 3500 200 4 256 11.2 9.31 9.31
1 1 3500 200 4 512 13.93 12.02 12.02
1 1 3500 200 16 1 17.36 15.56 15.56
1 1 3500 200 16 16 9.49 7.73 7.73
1 1 3500 200 16 64 10.32 8.51 8.51
1 1 3500 200 16 128 10.26 8.43 8.43
1 1 3500 200 16 256 11.3 9.46 9.46
1 1 3500 200 16 512 25.44 23.68 23.68
