0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 4 10 1 1 2.14 0.29 0.29 0
1 1 4 10 1 16 2.09 0.29 0.29 0
1 1 4 10 1 64 2 0.3 0.3 0
1 1 4 10 1 128 2.1 0.32 0.32 0
1 1 4 10 1 256 2.17 0.35 0.35 0
1 1 4 10 1 512 2.21 0.41 0.41 0
1 1 4 10 4 1 2.1 0.28 0.28 0
1 1 4 10 4 16 2.13 0.28 0.28 0
1 1 4 10 4 64 2.18 0.36 0.36 0
1 1 4 10 4 128 2.24 0.43 0.43 0
1 1 4 10 4 256 2.35 0.53 0.53 0
1 1 4 10 4 512 2.58 0.77 0.77 0
1 1 4 10 16 1 2.15 0.29 0.29 0
1 1 4 10 16 16 2.17 0.34 0.34 0
1 1 4 10 16 64 2.34 0.54 0.54 0
1 1 4 10 16 128 2.6 0.76 0.76 0
1 1 4 10 16 256 2.92 1.19 1.19 0
1 1 4 10 16 512 3.86 2.06 2.06 0
1 1 4 10 32 1 2.12 0.32 0.32 0
1 1 4 10 32 16 2.13 0.42 0.42 0
1 1 4 10 32 64 2.55 0.77 0.77 0
1 1 4 10 32 128 3.02 1.2 1.2 0
1 1 4 10 32 256 3.88 2.06 2.06 0
1 1 4 10 32 512 5.49 3.76 3.76 0
1 1 4 10 64 1 2.1 0.31 0.31 0
1 1 4 10 64 16 2.37 0.55 0.55 0
1 1 4 10 64 64 2.99 1.2 1.2 0
1 1 4 10 64 128 3.89 2.06 2.06 0
1 1 4 10 64 256 5.53 3.77 3.77 0
1 1 4 10 64 512 9 7.2 7.2 0
1 1 4 10 128 1 2.11 0.34 0.34 0
1 1 4 10 128 16 2.56 0.79 0.79 0
1 1 4 10 128 64 3.85 2.07 2.07 0
1 1 4 10 128 128 5.47 3.75 3.75 0
1 1 4 10 128 256 8.96 7.21 7.21 0
1 1 4 10 128 512 15.81 14.08 14.08 0
1 1 128 10 1 1 1.87 0.32 0.32 0
1 1 128 10 1 16 1.94 0.27 0.27 0
1 1 128 10 1 64 1.98 0.28 0.28 0
1 1 128 10 1 128 1.98 0.3 0.3 0
1 1 128 10 1 256 1.84 0.32 0.32 0
1 1 128 10 1 512 2.11 0.41 0.41 0
1 1 128 10 4 1 2.16 0.35 0.35 0
1 1 128 10 4 16 2.07 0.31 0.31 0
1 1 128 10 4 64 2.17 0.35 0.35 0
1 1 128 10 4 128 2.37 0.42 0.42 0
1 1 128 10 4 256 2.22 0.53 0.53 0
1 1 128 10 4 512 2.31 0.72 0.72 0
1 1 128 10 16 1 2.03 0.33 0.33 0
1 1 128 10 16 16 1.96 0.32 0.32 0
1 1 128 10 16 64 2.03 0.51 0.51 0
1 1 128 10 16 128 2.08 0.72 0.72 0
1 1 128 10 16 256 2.84 1.2 1.2 0
1 1 128 10 16 512 3.94 2.07 2.07 0
1 1 128 10 32 1 2.21 0.35 0.35 0
1 1 128 10 32 16 2.21 0.41 0.41 0
1 1 128 10 32 64 2.5 0.74 0.74 0
1 1 128 10 32 128 2.69 1.16 1.16 0
1 1 128 10 32 256 3.62 2.01 2.01 0
1 1 128 10 32 512 5.25 3.76 3.76 0
1 1 128 10 64 1 1.84 0.31 0.31 0
1 1 128 10 64 16 2.36 0.56 0.56 0
1 1 128 10 64 64 3.06 1.22 1.22 0
1 1 128 10 64 128 3.87 2.07 2.07 0
1 1 128 10 64 256 5.69 3.8 3.8 0
1 1 128 10 64 512 9.02 7.27 7.27 0
1 1 128 10 128 1 2.08 0.32 0.32 0
1 1 128 10 128 16 2.55 0.79 0.79 0
1 1 128 10 128 64 3.83 2.1 2.1 0
1 1 128 10 128 128 5.62 3.84 3.84 0
1 1 128 10 128 256 9.1 7.28 7.28 0
1 1 128 10 128 512 15.9 14.21 14.21 0
1 1 256 10 1 1 2.11 0.44 0.44 0
1 1 256 10 1 16 2.23 0.35 0.35 0
1 1 256 10 1 64 2.22 0.36 0.36 0
1 1 256 10 1 128 2.01 0.34 0.34 0
1 1 256 10 1 256 2.02 0.34 0.34 0
1 1 256 10 1 512 2.23 0.46 0.46 0
1 1 256 10 4 1 2.13 0.41 0.41 0
1 1 256 10 4 16 2.04 0.32 0.32 0
1 1 256 10 4 64 1.99 0.36 0.36 0
1 1 256 10 4 128 2.15 0.41 0.41 0
1 1 256 10 4 256 2.32 0.56 0.56 0
1 1 256 10 4 512 2.71 0.83 0.83 0
1 1 256 10 16 1 2.16 0.39 0.39 0
1 1 256 10 16 16 1.95 0.31 0.31 0
1 1 256 10 16 64 2.21 0.53 0.53 0
1 1 256 10 16 128 2.53 0.77 0.77 0
1 1 256 10 16 256 2.83 1.32 1.32 0
1 1 256 10 16 512 3.95 2.29 2.29 0
1 1 256 10 32 1 2.01 0.39 0.39 0
1 1 256 10 32 16 2.26 0.43 0.43 0
1 1 256 10 32 64 2.55 0.76 0.76 0
1 1 256 10 32 128 3 1.2 1.2 0
1 1 256 10 32 256 4.14 2.33 2.33 0
1 1 256 10 32 512 6.12 4.32 4.32 0
1 1 256 10 64 1 2.11 0.36 0.36 0
1 1 256 10 64 16 2.33 0.52 0.52 0
1 1 256 10 64 64 2.67 1.19 1.19 0
1 1 256 10 64 128 3.85 2.08 2.08 0
1 1 256 10 64 256 6.12 4.33 4.33 0
1 1 256 10 64 512 10.14 8.34 8.34 0
1 1 256 10 128 1 2.08 0.41 0.41 0
1 1 256 10 128 16 2.59 0.8 0.8 0
1 1 256 10 128 64 3.83 2.09 2.09 0
1 1 256 10 128 128 5.6 3.84 3.84 0
1 1 256 10 128 256 10.11 8.32 8.32 0
1 1 256 10 128 512 18.12 16.35 16.35 0
1 1 512 10 1 1 2.32 0.6 0.6 0
1 1 512 10 1 16 2.26 0.44 0.44 0
1 1 512 10 1 64 2.34 0.41 0.41 0
1 1 512 10 1 128 2.19 0.41 0.41 0
1 1 512 10 1 256 2.15 0.42 0.42 0
1 1 512 10 1 512 2.25 0.48 0.48 0
1 1 512 10 4 1 2.09 0.46 0.46 0
1 1 512 10 4 16 2.14 0.39 0.39 0
1 1 512 10 4 64 1.86 0.39 0.39 0
1 1 512 10 4 128 2.03 0.42 0.42 0
1 1 512 10 4 256 2.27 0.58 0.58 0
1 1 512 10 4 512 2.83 0.98 0.98 0
1 1 512 10 16 1 2.32 0.5 0.5 0
1 1 512 10 16 16 2.22 0.41 0.41 0
1 1 512 10 16 64 2.31 0.53 0.53 0
1 1 512 10 16 128 2.53 0.77 0.77 0
